Protein	Protein_name	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S1-120kMS1_MHRM_R03	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R01	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R02	MP-LFC-MS1var-OT-S2-120kMS1_MHRM_R03
P28240	ACEA_YEAST	1531371.653	564895.4647	4817731.188	12050184.06	NA	NA
P50570	DYN2_HUMAN	18605028.8	18971844.61	17320308.35	19531439.15	20563774.74	19083952.37
P49750	YLPM1_HUMAN	4229735.981	4161221.3	4251312.335	4407306.651	4589878.612	4462854.914
Q06830	PRDX1_HUMAN	436487181.3	429089640.4	480949328.3	433756181.5	466747276.3	492581776.9
P52910	ACS2_YEAST	26255428.29	25929201.78	25043895.73	13126453.79	13121981.11	15301759.18
Q99575	POP1_HUMAN	3465620.512	3596394.165	3070398.035	3798104.937	3976747.22	3522015.228
Q13131	AAPK1_HUMAN	9843532.997	8543531.399	9024917.804	9634574.892	9315857.964	11152591.44
P40364	MPM1_YEAST	11170581.01	11710274.59	11775338.54	6983986.511	6883214.173	6295007.647
P61020	RAB5B_HUMAN	6834574.152	6221520.157	5951802.586	6431333.665	5333509.033	6943387.778
P62805	H4_HUMAN	1617396312	1694400767	1751151962	1737289114	1788029482	1800915758
G5ECK7	G5ECK7_CAEEL	1478133.761	1245912.343	1171625.398	1628491.612	1590512.191	2464451.971
P40825	SYA_YEAST	18693904.53	19258415.25	18337492.13	10475643.13	10351004.08	10214491.46
P82914	RT15_HUMAN	5328175.835	5597437.143	5328870.32	5318911.932	5446627.838	5904721.596
P04040	CATA_HUMAN	19216334.59	19387997.94	17557815.06	19053914.31	17799649.34	19227051.39
Q9BS26	ERP44_HUMAN	12096237.62	10908546.13	10592203.59	12698858.09	12138273.47	12464507.69
Q8TEM1	PO210_HUMAN	12906944.54	12064111.49	11386983.69	12438170.18	11869990.8	12451231.2
P05694	METE_YEAST	218154340.1	227004135.6	220995889.3	121670047.2	131040268.7	132610433.5
Q9H4A6	GOLP3_HUMAN	9980980.175	10884956.22	8866779.462	9586419.574	10213110.52	12025749.78
Q9NW82	WDR70_HUMAN	6799925.184	7294899.472	6440980.738	7322792.48	7739581.67	8159298.988
Q8NEL9	DDHD1_HUMAN	22015800.91	28212516.88	21955753.42	14045179.27	14267772.51	10589877.49
Q96HR8	NAF1_HUMAN	1437358.615	2859684.079	1963777.931	2005976.315	1542029.958	3411716.68
P49257	LMAN1_HUMAN	19341176.55	19069335.16	17666056.8	21156759.14	20162715.29	18721788.65
P31040	SDHA_HUMAN	45076591.23	45229555.8	43789152.56	44560104.26	42474672.36	45837355.67
Q12030	TAF10_YEAST	1294180.882	821288.9806	2260853.026	754584.6667	471870.6452	946848.7714
Q06546	GABPA_HUMAN	5515546.365	5157152.158	5720242.877	6164978.868	5505040.421	6410599.438
P52899	ODPA_CAEEL	16306802.64	16197284.68	16315388.46	19688469.74	18958085.17	20078178.53
P61019	RAB2A_HUMAN	23593491.39	20826916.26	21932678	23620681.65	23604055.57	24133451.82
P49411	EFTU_HUMAN	122286739.2	124253589.5	125970867.3	129954222	131960126.2	134159486.1
